Date,City,District_Code,Division_Type,Frontage,Bedroom,Restroom,Floor,Ground_Area,Living_Area,Price
2024-11-06, TPHCM,DTANPHUHCM,Urban,0,10,6,5.0,85,425.0,7700
2024-11-06, TPHCM,D1HCM,Urban,1,15,15,7.0,90,630.0,45000
2024-11-06, TPHCM,D1HCM,Urban,1,4,4,4.0,110,440.0,55000
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,6,7,7.0,76,532.0,24000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,5,7,6.0,68,408.0,10600
2024-11-06, TPHCM,D3HCM,Urban,1,5,5,6.0,170,1020.0,65000
2024-11-06, TPHCM,D1HCM,Urban,1,2,3,3.0,72,216.0,40000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,5,5.0,64,320.0,6600
2024-11-06, TPHCM,D1HCM,Urban,0,8,8,8.0,68,544.0,118000
2024-11-06, TPHCM,D1HCM,Urban,1,7,4,5.0,72,360.0,43000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,3.0,48,144.0,5000
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,5,4,5.0,143,715.0,19000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,4,2,3.0,51,153.0,3730
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,28,56.0,3650
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,30,60.0,3690
2024-11-06, TPHCM,DBINHTHANHHCM,Urban,1,5,6,7.0,189,1323.0,70000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,26,52.0,3450
2024-11-06, TPHCM,DPHUNHUANHCM,Urban,1,3,4,4.0,92,368.0,23000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,3,3,4.0,36,144.0,4750
2024-11-06, TPHCM,D1HCM,Urban,1,3,4,5.0,80,400.0,48000
2024-11-06, TPHCM,DGOVAPHCM,Urban,0,2,2,2.0,36,72.0,3880
2024-11-06, TPHCM,D3HCM,Urban,1,2,2,8.0,281,2248.0,99000
2024-11-06, TPHCM,D5HCM,Urban,1,3,4,4.0,81,324.0,31000
